mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension,target
10.8348,20.795999999999996,70.548,300.59999999999997,0.12792,0.16956000000000002,0.3756,0.0525,0.25332,0.096552,0.39288,1.4327999999999999,2.262,21.204,0.0114588,0.10327199999999999,0.36456,0.039864,0.050364,0.0114708,12.372,27.179999999999996,78.6,389.64,0.17784,0.5237999999999999,1.5024,0.21,0.50736,0.141,1.0
25.308,31.884,171.23999999999998,1573.2,0.13692,0.33984,0.29844,0.17952,0.2874,0.08877600000000001,0.75576,0.91548,5.296799999999999,97.752,0.0051036,0.057108,0.046464,0.018803999999999998,0.021575999999999998,0.006354,32.016,40.175999999999995,211.79999999999998,2506.7999999999997,0.17892,0.9100799999999999,0.8136,0.34836,0.49176,0.15407999999999997,0.0
11.0076,16.631999999999998,71.04,313.08,0.092652,0.10501200000000001,0.071856,0.02616,0.28092,0.08355599999999999,0.49176,2.718,3.1296,28.224,0.0104856,0.047256,0.051744,0.018719999999999997,0.050303999999999995,0.006986399999999999,12.011999999999999,23.076,78.708,372.12,0.118032,0.20136,0.16763999999999998,0.061043999999999994,0.39383999999999997,0.10188,1.0
12.78,30.263999999999996,81.61200000000001,416.4,0.115884,0.086808,0.028547999999999997,0.01938,0.22764,0.075948,0.29964,1.7916,1.7964,19.968,0.0086268,0.012419999999999999,0.012972,0.007493999999999999,0.025896,0.0031428,14.7,42.227999999999994,93.57600000000001,546.8399999999999,0.17988,0.16776,0.135,0.07363199999999999,0.40907999999999994,0.097764,1.0
12.203999999999999,17.856,77.46,374.28,0.13608,0.096732,0.013008,0.015479999999999999,0.32915999999999995,0.08352,0.6189600000000001,1.7292,3.9743999999999997,41.544,0.0090168,0.013188,0.009198,0.009831600000000001,0.050196,0.0071436,13.223999999999998,20.939999999999998,83.832,442.32,0.153,0.118392,0.026016,0.030948,0.42684,0.09623999999999999,1.0
17.447999999999997,33.047999999999995,116.076,790.56,0.13668,0.1914,0.19668,0.08836799999999999,0.27636,0.084924,0.444,1.2395999999999998,3.4548,39.059999999999995,0.0067284,0.05088,0.056892,0.01308,0.022283999999999998,0.0065592,20.952,44.556000000000004,148.92,1131.84,0.20136,0.7892399999999999,0.84312,0.20543999999999998,0.5061599999999999,0.16091999999999998,0.0
17.291999999999998,23.676,115.23599999999999,781.1999999999999,0.105084,0.20112,0.16343999999999997,0.07922399999999999,0.20568,0.08630399999999999,1.05732,2.124,5.232,92.532,0.009314399999999999,0.12768,0.11951999999999999,0.033252,0.048924,0.027431999999999998,18.924,26.555999999999997,122.03999999999999,920.7599999999999,0.119796,0.29664,0.26639999999999997,0.12251999999999999,0.27264,0.105588,1.0
13.716,18.468,87.672,479.76,0.11566799999999999,0.082668,0.042036,0.0345,0.20808,0.07038,0.21108,1.19256,1.3716,15.203999999999999,0.0061596,0.018251999999999997,0.017208,0.0103224,0.018012,0.0019056,14.783999999999999,26.424,95.91600000000001,554.4,0.14279999999999998,0.19776,0.16788,0.101712,0.32112,0.08118,1.0
14.7,21.528000000000002,93.92399999999999,552.36,0.10384800000000001,0.080148,0.04662,0.027972,0.2364,0.074736,0.264,1.1787599999999998,1.7808,19.812,0.0066216,0.018744,0.023927999999999998,0.0095088,0.021588,0.0029808,16.308,30.263999999999996,103.91999999999999,677.0400000000001,0.14604,0.21455999999999997,0.23315999999999998,0.098532,0.37356,0.097584,1.0
23.868,24.312,156.6,1456.8,0.12444,0.1572,0.16932,0.113172,0.21624,0.07425599999999999,0.60948,1.04844,4.384799999999999,71.64,0.0061068,0.027635999999999997,0.036624,0.014136,0.012683999999999999,0.004069199999999999,28.476,30.276,192.6,1975.1999999999998,0.17004,0.39708000000000004,0.5022,0.19355999999999998,0.30588,0.109632,0.0
